Change from previous experiment: Decrease learning rate to 0.0001 (0.1 of original), increase max-iter to 50
Result: Doesn't converge.

################################################################################

Starting compiling...
Ending compiling...
Compiling time: 43.64
Starting training...
cost at epoch 0, iteration 0: 3.386746
cost at epoch 0, iteration 20: 3.354003
cost at epoch 0, iteration 40: 3.331023
cost at epoch 0, iteration 60: 3.352681
cost at epoch 0, iteration 80: 3.321511
cost at epoch 0, iteration 100: 3.327508
cost at epoch 0, iteration 120: 3.380781
cost at epoch 0, iteration 140: 3.344489
cost at epoch 0, iteration 160: 3.356807
cost at epoch 0, iteration 180: 3.356376
cost at epoch 0, iteration 200: 3.339606
cost at epoch 0, iteration 220: 3.347186
cost at epoch 0, iteration 240: 3.364410
cost at epoch 0, iteration 260: 3.353914
cost at epoch 0, iteration 280: 3.335411
cost at epoch 0, iteration 300: 3.333004
cost at epoch 0, iteration 320: 3.352178
cost at epoch 0, iteration 340: 3.354025
cost at epoch 0, iteration 360: 3.304985
cost at epoch 0, iteration 380: 3.317308
Average cost in epoch 0: 3.345270
cost at epoch 1, iteration 0: 3.377888
cost at epoch 1, iteration 20: 3.351483
cost at epoch 1, iteration 40: 3.340161
cost at epoch 1, iteration 60: 3.360228
cost at epoch 1, iteration 80: 3.357982
cost at epoch 1, iteration 100: 3.307548
cost at epoch 1, iteration 120: 3.314424
cost at epoch 1, iteration 140: 3.323305
cost at epoch 1, iteration 160: 3.344537
cost at epoch 1, iteration 180: 3.325894
cost at epoch 1, iteration 200: 3.362710
cost at epoch 1, iteration 220: 3.376611
cost at epoch 1, iteration 240: 3.413177
cost at epoch 1, iteration 260: 3.363341
cost at epoch 1, iteration 280: 3.284612
cost at epoch 1, iteration 300: 3.332144
cost at epoch 1, iteration 320: 3.398327
cost at epoch 1, iteration 340: 3.343278
cost at epoch 1, iteration 360: 3.307525
cost at epoch 1, iteration 380: 3.377895
Average cost in epoch 1: 3.347448
cost at epoch 2, iteration 0: 3.387091
cost at epoch 2, iteration 20: 3.337781
cost at epoch 2, iteration 40: 3.366053
cost at epoch 2, iteration 60: 3.380106
cost at epoch 2, iteration 80: 3.350838
cost at epoch 2, iteration 100: 3.325241
cost at epoch 2, iteration 120: 3.367551
